Reference, Value, Footprint, Datasheet
C12,0.001,Capacitors_ThroughHole:C_Disc_D6_P5,
C13,0.001,Capacitors_ThroughHole:C_Disc_D6_P5,
C2,0.001,Capacitors_ThroughHole:C_Disc_D6_P5,
C6,0.001,Capacitors_ThroughHole:C_Disc_D6_P5,
C14,0.047,Capacitors_ThroughHole:C_Disc_D6_P5,
C15,0.1,Capacitors_ThroughHole:C_Disc_D6_P5,
C16,0.1,Capacitors_ThroughHole:C_Disc_D6_P5,
C21,0.1,Capacitors_ThroughHole:C_Disc_D6_P5,
C22,0.1,Capacitors_ThroughHole:C_Disc_D6_P5,
C17,0.22,Capacitors_ThroughHole:C_Disc_D6_P5,
C18,0.22,Capacitors_ThroughHole:C_Disc_D6_P5,
C10,0.022 5%,Capacitors_ThroughHole:C_Disc_D6_P5,
R21,1.5K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R16,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R24,100K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R43,100K,Potentiometers:Potentiometer_VishaySpectrol-Econtrim-Type36k,
C1,100pF,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C19,100pF,Capacitors_ThroughHole:C_Disc_D3_P2.5,
C20,100pF,Capacitors_ThroughHole:C_Disc_D3_P2.5,
R20,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R23,10K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R18,150R,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R34,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R36,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R37,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R41,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R42,1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R44,1M,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R33,220K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R35,22K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R45,22K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R28,240K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R29,2K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R25,3.32K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R40,360*,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R22,3K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R38,475K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R39,475K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R31,47K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R32,47K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R11,5.1K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R26,51K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
R27,51K,Resistors_ThroughHole:Resistor_Horizontal_RM10mm,
